@relation RetuersData_Test

@attribute text string
@attribute class {earn,acq}

@data'AB Astra ASTS.ST said it was proposing a two-for-one share split and the issue in June of a new series of foreign-targeted shares with lower voting rights as part of a strategy to internationalise the company.     The deal, which requires Swedish government approval, will raise the percentage of foreign voting rights allowed in the medical group to 22.5 pct from 20 pct, Astra said.     An extraordinary meeting of Astra\'s board proposed the creation of B free shares open to foreign buyers with one tenth of a voting right per share. At present, Astra stock consists of one series of restricted shares and one of free shares.  \n',earn
'Net profit 327.1 mln guilders vs 307.5.     Total revenue 7.97 billion guilders vs 8.7 billion.     Net profit per five guilder nominal share 9.33 guilder vs 9.25 (corrected for capital increase).     Final dividend 1.30 guilders and 2.4 pct stock vs 1.30 guilders and 2.2 pct in stock. Interim dividend already paid was 1.30 guilders.     Note : full name of company is AEGON NV AEGN.AS     \n',earn
'Dutch insurer AEGON NV AEGN.AS reported a 6.4 pct increase in 1986 net profits to 327.1 mln guilders and said it expected a moderate increase in profits for 1987.     Total revenue was eight pct lower in 1986 at 7.97 billion guilders vs 8.7 billion guilders in 1985. The company said its revenues were down due to lower foreign exchange rates and a change in accounting practice. It added that revenues would have risen by about seven pct had those changes not occurred.     Revenue from Dutch operations rose five pct in 1986, mainly due to its life insurance business.     Health insurance revenues in the Netherlands also rose despite a notable shift to insurances with lower premiums and higher personal risks.     Damage insurances made losses, mainly due to car damage insurances. AEGON did not specify the loss.     In the United States, revenue in guilders from health and life insurance was lower. AEGON said this was due to a change in accounting for U.S. Annuities.     AEGON said annuities are subject to such strong personal investment influences that it should be accounted differently from the more traditional insurances.     This change in accounting practice and another change to account for profits made on fixed interest investments, resulted in an incidental rise in net profits of 31 mln guilders.     AEGON said incidental negative influences on net profits were slightly higher, being the lower dollar rate, high initial costs for new products, and the cost of new headquarters in The Hague.     In 1986, a large number of new insurance products emerged in the Netherlands and the U.S., AEGON said. Large initial costs for these products have depressed net profits somewhat.     Monumental Corp, a U.S. Insurer which merged with AEGON in May 1986, saw its profits almost completely eroded by these costs and made only a small contribution to the group\'s profits.     AEGON said it has written-off 657 mln guilders in goodwill for Monumental Corp.     AEGON\'s net equity was 2.71 billion guilders in December 1986, against 3.46 billion the year before.   \n',earn
'Amatil Ltd AMAA.S said it proposes to make a two-for-five bonus issue out of its revaluation reserve to shareholders registered May 26.     Shareholders will be asked to approve the issue and an increase in authorised capital to 175 mln shares from 125 mln at a general meeting on May 1, it said in a statement.     The new shares will rank for dividends declared after October 31. Amatil, in which B.A.T. Industries Plc BTI.L holds a 41 pct stake, said it does not expect to maintain its latest annual dividend rate of 29 cents a share on the enlarged capital.  \n',earn
'Australia and New Zealand Banking Group Ltd ANZA.S said it will make a one-for-two bonus issue from its asset revaluation reserve to shareholders registered June 2.     The proposed bonus and an increase in authorised capital to one billion one-dlr par shares from 600 mln will be put to shareholders for approval at an extraordinary general meeting on May 26, the ANZ said in a statement.     The issue will absorb about 230 mln dlrs of the 260.9 mln standing in the asset revaluation reserve, it said.     The bank said that by lowering the dividend rate it expects to maintain the value of dividend payout on the enlarged capital at about the level of its last full year ended September 30. The group paid 31 cents a share and 133.1 mln dlrs in all for that year.     Shareholders will also be asked to approve changes in the bank\'s articles of association to allow it to offer shares in lieu of the interim dividend at a discount of five pct to the market price.     The group is the latest to announce a tax-free bonus issue ahead of dividend imputation, effective July 1.  \n',earn
'Shr 37 cts vs 42 cts     Net 26.6 mln vs 30.0 mln     Sales 805.4 mln vs 690.6 mln     Avg shrs 70.6 mln vs 71.0 mln     Nine mths     Shr 1.23 dlrs vs 1.23 dlrs     Net 86.8 mln vs 88.5 mln     Sales 2.30 billion vs 2.01 billion     Avg shrs 70.3 mln vs 72.2 mln  \n',earn
'six months to March 31     Shr 16.25p vs 15.61p     Div 4.0p vs 3.5p     Turnover 6.12 billion vs 4.89 billion     Interest 25.2 mln vs 37.6 mln     Pretax profit 42.7 mln vs 40.3 mln     Tax 10.3 mln vs 9.9 mln     Minorities 1.3 mln vs 439,000     Extraordinary items 2.6 mln credit vs 1.2 mln debit     Note - company name is S and W Berisford Plc BRFD.L  \n',earn
'Year to end-December Shr 76.7p vs 67.7p     Div 17p making 23p vs 21p     Pretax profit 127.0 mln stg vs 116.9 mln     Turnover 1.10 billion vs 947.2 mln     Tax 25.0 mln vs 26.3 mln     Note - company full name is Blue Circle Industries Plc BCIL.L. Company said it proposes one-for-one capitalisation issue     Gross profit 390.9 mln vs 321.6 mln     Distribution costs 215.6 mln vs 177.6 mln     Administrative expenses 65.1 mln vs 58.9 mln     Other operating income 5.3 mln vs 11.0 mln     Share of profits of related companies 50.0 mln vs 58.1 mln     Operating profit 165.5 mln vs 154.2 mln     Net interest payable 33.6 mln vs 32.2 mln     Exceptional items 4.9 mln debit vs 5.1 mln debit     Minorities 3.4 mln vs 6.9 mln     Extraordinary items after tax 39.5 mln vs 4.2 mln     Pretax profit includes -     U.K. 37.7 mln vs 20.5 mln     U.S. 27.5 mln vs 22.8 mln     Mexico 15.0 mln vs 20.7 mln     Australasia 15.7 mln vs 13.2 mln     Africa 12.0 mln vs 12.6 mln  \n',earn
'Shr 27.7p vs 20.7p     Div 6.0p vs 5.5p making 10.0p vs 9.25p     Turnover 1.34 billion stg vs 1.29 billion     Pretax profit 48.0 mln vs 32.4 mln     Tax 14.4 mln vs 6.9 mln     Company name is Bowater Industries Plc BWTR.L     Trading profit 63.4 mln vs 45.1 mln     Trading profit includes -     Packaging and associated products 23.2 mln vs 14.2 mln     Merchanting and services 18.4 mln vs 9.6 mln     Tissue and timber products 9.0 mln vs 5.8 mln     Interest debit 15.4 mln vs 12.7 mln     Minority interests 7.0 mln debit vs 6.2 mln debit     Extraordinary items 15.4 mln credit vs 11.9 mln debit  \n',earn
'Bowater Industries Plc BWTR.L 1986 pretax profits of 48.0 mln stg exceeded market expectations of around 40 mln and pushed the company\'s shares up sharply to a high of 491p from 468p last night, dealers said.     The shares later eased back to 481p. Bowater reported a 32.4 mln stg profit in 1985.     The company said in a statement accompanying the results that the underlying trend showed improvement and it intended to expand further by developing existing businesses and seeking new opportunities.     It added that it had appointed David Lyon, currently managing director of Redland Plc RDLD.L as its new chief executive.     Analysts noted that Bowater\'s profits of 18.9 mln stg from 13.2 mln previously had been given a boost by pension benefits of 4.5 mln stg.     Profit from Australia and the Far East showed the greatest percentage rise, jumping 55.0 pct to 15.5 mln from 10.0 mln, while the profit from U.K. Operations rose 30.7 pct to 24.7 mln, and Europe, 42.9 pct to 11.0 mln.  \n',earn
'Dividend on 1986 business 12 marks per share vs seven marks.     (Company is a subsidiary of Switzerland\'s BBC AG Brown Boveri und Cie BBCZ.Z).  \n',earn
